127.0.0.1, 2018-10-17 15:04:02, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.002258
127.0.0.1, 2018-10-17 15:04:02, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.002978
127.0.0.1, 2018-10-17 15:04:02, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.004047
127.0.0.1, 2018-10-17 15:04:02, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.001976
127.0.0.1, 2018-10-17 15:04:02, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.002784
127.0.0.1, 2018-10-17 15:04:02, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.001917
127.0.0.1, 2018-10-17 15:04:02, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000744
127.0.0.1, 2018-10-17 15:04:02, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.001576
127.0.0.1, 2018-10-17 15:04:02, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000551
127.0.0.1, 2018-10-17 15:04:02, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000443
127.0.0.1, 2018-10-17 15:04:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000229
127.0.0.1, 2018-10-17 15:04:02, GET, /start/, HTTP/1.1, 200, 0.026605
127.0.0.1, 2018-10-17 15:04:11, GET, /start/, HTTP/1.1, 200, 0.030307
127.0.0.1, 2018-10-17 15:04:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.027333
127.0.0.1, 2018-10-17 15:04:19, GET, /web2py_start/, HTTP/1.1, 404, 0.000329
127.0.0.1, 2018-10-17 15:04:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000214
127.0.0.1, 2018-10-17 15:05:05, GET, /web2py_start/, HTTP/1.1, 404, 0.000332
127.0.0.1, 2018-10-17 15:05:07, GET, /, HTTP/1.1, 303, 0.000311
127.0.0.1, 2018-10-17 15:05:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.021535
127.0.0.1, 2018-10-17 15:05:07, GET, /welcome/default/index, HTTP/1.1, 200, 0.046131
127.0.0.1, 2018-10-17 15:05:07, GET, /start/, HTTP/1.1, 200, 0.050402
127.0.0.1, 2018-10-17 15:05:09, GET, /start/, HTTP/1.1, 200, 0.020462
127.0.0.1, 2018-10-17 15:05:13, GET, /start/default/index, HTTP/1.1, 200, 0.019182
127.0.0.1, 2018-10-17 15:05:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000220
127.0.0.1, 2018-10-17 15:05:15, GET, /start/default/index, HTTP/1.1, 200, 0.023734
127.0.0.1, 2018-10-17 15:05:17, GET, /start/default/index, HTTP/1.1, 200, 0.021572
127.0.0.1, 2018-10-17 15:06:44, GET, /start/default/index, HTTP/1.1, 200, 0.022246
127.0.0.1, 2018-10-17 15:06:46, GET, /start/, HTTP/1.1, 200, 0.023554
127.0.0.1, 2018-10-17 15:06:46, GET, /, HTTP/1.1, 303, 0.000357
127.0.0.1, 2018-10-17 15:06:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.022994
127.0.0.1, 2018-10-17 15:06:47, GET, /welcome/default/index, HTTP/1.1, 200, 0.025232
127.0.0.1, 2018-10-17 15:06:49, GET, /web2py_start/, HTTP/1.1, 404, 0.000571
127.0.0.1, 2018-10-17 15:06:53, GET, /web2py_start/, HTTP/1.1, 404, 0.000329
127.0.0.1, 2018-10-17 15:06:53, GET, /web2py_start, HTTP/1.1, 404, 0.000319
